ax,ay,az,gx,gy,gz
17360.0,-400.0,4596.0,-6860.0,-6282.0,-3143.0
16552.0,-2464.0,9020.0,571.0,-1516.0,-53.0
9668.0,2584.0,4828.0,3118.0,-2493.0,4356.0
12828.0,-2676.0,2904.0,14899.0,13743.0,-485.0
16468.0,3788.0,15356.0,2599.0,19627.0,-5933.0
12708.0,308.0,18528.0,2190.0,17525.0,2239.0
13360.0,1204.0,18316.0,-1234.0,32767.0,3621.0
5624.0,2664.0,17116.0,-13727.0,32767.0,10821.0
940.0,-3380.0,21904.0,-5521.0,32767.0,14288.0
-1972.0,-2232.0,20628.0,3066.0,32767.0,13285.0
-11396.0,3768.0,7808.0,4666.0,25466.0,-3541.0
-11752.0,724.0,12308.0,-2125.0,7518.0,-5057.0
-16308.0,-424.0,7028.0,-3626.0,-13776.0,-7866.0
-8904.0,-1708.0,11772.0,2741.0,-32768.0,-6584.0
636.0,588.0,13168.0,-865.0,-32768.0,-8024.0
4624.0,308.0,10108.0,1690.0,-32768.0,-15307.0
18028.0,2032.0,10368.0,-2827.0,-32768.0,-4549.0
18388.0,640.0,2144.0,-10907.0,-32768.0,-10153.0
28352.0,1260.0,4036.0,-7152.0,-31267.0,-936.0
22008.0,428.0,1912.0,-14342.0,-14647.0,-4191.0
18204.0,-1464.0,3824.0,4197.0,16374.0,1259.0
15460.0,1604.0,7488.0,6120.0,2841.0,512.0
18968.0,-500.0,9316.0,14173.0,32767.0,3852.0
20208.0,4384.0,8428.0,6058.0,11546.0,1656.0
19824.0,-3132.0,20104.0,12268.0,32767.0,-2929.0
18336.0,2348.0,15516.0,10504.0,32767.0,9295.0
7992.0,3092.0,15352.0,-9073.0,32767.0,19865.0
1784.0,-3372.0,24548.0,1257.0,32767.0,12144.0
-2320.0,1108.0,16028.0,3272.0,22864.0,3414.0
-3736.0,2544.0,17100.0,-3268.0,20701.0,-3151.0
-7032.0,1400.0,13880.0,-1452.0,2322.0,-13948.0
-7032.0,-844.0,11140.0,-6565.0,-18098.0,-14688.0
-2292.0,-2840.0,8548.0,5222.0,-32768.0,-21587.0
10104.0,-5828.0,13512.0,3576.0,-32768.0,-8324.0
21064.0,4964.0,7464.0,-5311.0,-32768.0,-5947.0
24088.0,724.0,8764.0,-16182.0,-32768.0,-7640.0
15436.0,-820.0,6208.0,-3728.0,-15557.0,-50.0
20268.0,2660.0,6160.0,-1191.0,-1082.0,706.0
13984.0,-832.0,8748.0,3489.0,-1640.0,3614.0
18156.0,1684.0,10948.0,5414.0,13913.0,1977.0
17060.0,1552.0,10128.0,6855.0,12408.0,-2354.0
18576.0,-908.0,16276.0,6256.0,16992.0,703.0
18304.0,1712.0,15268.0,5302.0,14820.0,8987.0
16572.0,472.0,17352.0,93.0,32767.0,13598.0
8112.0,1544.0,17092.0,-1093.0,32767.0,13563.0
-680.0,-3576.0,20416.0,-3534.0,23035.0,10150.0
-3252.0,-452.0,17124.0,3058.0,32206.0,9431.0
-7372.0,-624.0,16368.0,3233.0,10025.0,-5046.0
-5284.0,-1016.0,15768.0,2531.0,-9824.0,-7166.0
-808.0,2540.0,12608.0,3958.0,-16496.0,-10780.0
2896.0,-1544.0,15232.0,3637.0,-26932.0,-11870.0
8164.0,-536.0,12672.0,-1585.0,-32768.0,691.0
17076.0,5680.0,5260.0,-10070.0,-32768.0,-8816.0
17688.0,-4736.0,8908.0,-17627.0,-32768.0,-6275.0
25468.0,-1956.0,11108.0,-14392.0,-24542.0,-4406.0
13816.0,-3188.0,6900.0,-5240.0,-7975.0,-4016.0
21484.0,-784.0,11796.0,2564.0,416.0,708.0
17356.0,2164.0,10036.0,5882.0,-38.0,-433.0
15292.0,1292.0,12804.0,10632.0,9600.0,622.0
20624.0,2616.0,13368.0,13195.0,32767.0,4848.0
13640.0,-1580.0,18080.0,7815.0,32767.0,20703.0
12204.0,3520.0,19856.0,2651.0,32767.0,11629.0
-2100.0,2312.0,16016.0,-4840.0,32767.0,15306.0
-11868.0,-32.0,14932.0,11434.0,32767.0,-1069.0
-11532.0,1092.0,14864.0,-3045.0,21054.0,-4188.0
-12808.0,828.0,6772.0,1816.0,-7259.0,-15189.0
-12764.0,-820.0,7568.0,1312.0,-15376.0,-11796.0
-9116.0,-544.0,2904.0,9578.0,-32768.0,-12156.0
7740.0,-372.0,8796.0,1602.0,-32768.0,-8248.0
22768.0,-360.0,14956.0,-3690.0,-32768.0,-8636.0
16552.0,68.0,7324.0,-9383.0,-32768.0,-8101.0
26704.0,-3212.0,15444.0,-11370.0,-21112.0,-1451.0
14084.0,96.0,7120.0,1366.0,-5776.0,2276.0
18244.0,1644.0,12724.0,1578.0,-1001.0,2822.0
16996.0,3444.0,12964.0,6650.0,8342.0,-601.0
18384.0,1500.0,14460.0,1925.0,2072.0,-710.0
20548.0,-4252.0,22776.0,15931.0,32729.0,-1494.0
15456.0,-752.0,19460.0,5813.0,32767.0,12906.0
6916.0,-700.0,19028.0,2902.0,32767.0,19838.0
868.0,2220.0,15756.0,3551.0,32767.0,19715.0
-6976.0,688.0,18356.0,2875.0,32767.0,4031.0
-9652.0,1008.0,15200.0,528.0,19599.0,-1993.0
-8580.0,5032.0,10868.0,4326.0,2293.0,-8384.0
